Year,Month,mm
2008,04,79.09
2008,05,76.25
2008,06,73.73
2008,07,45.11
2008,08,39.23
2008,09,75.78
2008,10,87.46
2008,11,145.81
2008,12,135.02
2009,01,105.76
2009,02,75.52
2009,03,89.19
2009,04,88.59
2009,05,33.66
2009,06,73.93
2009,07,38.11
2009,08,33.65
2009,09,73.39
2009,10,92.15
2009,11,84.88
2009,12,101.82
2010,01,89.34
2010,02,80.39
2010,03,61.17
2010,04,53.2
2010,05,102.08
2010,06,67.28
2010,07,44.42
2010,08,66.84
2010,09,86.4
2010,10,116.77
2010,11,131.64
2010,12,86.86
2011,01,60.3
2011,02,47.77
2011,03,73.6
2011,04,43.1
2011,05,47.57
2011,06,65.95
2011,07,68.1
2011,08,29.66
2011,09,52.86
2011,10,72.6
2011,11,91.62
2011,12,66.71
2012,01,41.2
2012,02,49.56
2012,03,25.38
2012,04,87.56
2012,05,61.25
2012,06,36.63
2012,07,34.6
2012,08,41.02
2012,09,75.15
2012,10,91.64
2012,11,126.25
2012,12,70.99
2013,01,84.26
2013,02,74.84
2013,03,102.29
2013,04,63.55
2013,05,85.27
2013,06,38.84
2013,07,30.03
2013,08,43.53
2013,09,61.31
2013,10,82.73
2013,11,122.96
2013,12,66.09
2014,01,108.3
2014,02,101.18
2014,03,49.4
2014,04,71.54
2014,05,52.32
2014,06,66.93
2014,07,83.88
2014,08,49.89
2014,09,76.07
2014,10,70.45
2014,11,140.67
2014,12,68.04
2015,01,70.97
2015,02,71.21
2015,03,64.42
2015,04,40.53
2015,05,52.16
2015,06,55.3
2015,07,30.66
2015,08,59.75
2015,09,64.61
2015,10,113.83
2015,11,50.31
2015,12,13.4
2016,01,56.23
2016,02,82.41
2016,03,56.04
2016,04,42.32
2016,05,86.06
2016,06,70.76
2016,07,42.96
2016,08,37.48
2016,09,65.34
2016,10,82.19
2016,11,99
2016,12,24.5
2017,01,68.81
2017,02,57.91
2017,03,37.92
2017,04,48.14
2017,05,33.08
2017,06,53.89
2017,07,25.89
2017,08,28.32
2017,09,74.43
2017,10,23.95
2017,11,87.19
2017,12,88.92
2018,01,52.09
2018,02,83.56
2018,03,95.98
2018,04,44.45
2018,05,79.26
2018,06,50.39
2018,07,35.13
2018,08,58.69
2018,09,40.35
2018,10,97.3
2018,11,79
2018,12,48.13
2019,01,63.18
2019,02,36.89
2019,03,29.18
2019,04,72.04
2019,05,108.37
2019,06,27.6
2019,07,73.52
2019,08,46.8
2019,09,50.61
2019,10,80.81
2019,11,214.79
2019,12,87.46
2020,01,23.02
2020,02,26.55
2020,03,66.7
2020,04,53.69
2020,05,60.85
2020,06,96.86
2020,07,27.51
2020,08,73.34
2020,09,80.74
2020,10,98.05
2020,11,43.82
2020,12,109.95
2021,01,84.13
2021,02,37.67
2021,03,39.12
2021,04,56.82
2021,05,75.05
2021,06,31.14
2021,07,54.89
2021,08,41.89
2021,09,42.98
2021,10,68.38
2021,11,108.27
2021,12,71.83
2022,01,26.51
2022,02,33.36
2022,03,28.08
2022,04,38.5
2022,05,36.6
2022,06,37.99
2022,07,19.49
2022,08,44.59
2022,09,88.66
2022,10,48.98
2022,11,103.72
2022,12,72.17
2023,01,78.44
2023,02,23.77
2023,03,46.33
2023,04,73.37
2023,05,85.86
2023,06,66.83
2023,07,31.13
2023,08,79.53
2023,09,53.37
2023,10,63.57
2023,11,112.94
2023,12,57.72
